#,Signal_ET,Direction,Container_High,Container_Low,Entry_Price,Exit_Price,PnL_Points,PnL_USD,Exit_Reason,Signal_UTC,Fill_UTC,Exit_UTC
42,2025-12-01 10:39,LONG,25329.50,25302.75,25344.00,25352.00,7.75,556.14,TP,2025-12-01 15:39,2025-12-01 15:40,2025-12-01 15:40
43,2025-12-02 10:47,LONG,25631.25,25614.25,25636.50,25644.50,7.75,556.14,TP,2025-12-02 15:47,2025-12-02 15:48,2025-12-02 15:48
44,2025-12-03 10:02,LONG,25528.75,25488.75,25552.50,25560.50,7.75,556.14,TP,2025-12-03 15:02,2025-12-03 15:03,2025-12-03 15:03
45,2025-12-03 10:09,SHORT,25543.25,25522.00,25513.00,25505.00,7.75,556.14,TP,2025-12-03 15:09,2025-12-03 15:10,2025-12-03 15:10
46,2025-12-04 10:07,SHORT,25581.50,25560.50,25558.50,25568.50,-10.25,-847.86,SL,2025-12-04 15:07,2025-12-04 15:08,2025-12-04 15:08
47,2025-12-04 10:36,LONG,25606.75,25592.25,25607.25,25615.25,7.75,556.14,TP,2025-12-04 15:36,2025-12-04 15:37,2025-12-04 15:37
48,2025-12-04 10:56,SHORT,25598.25,25583.75,25574.25,25566.25,7.75,556.14,TP,2025-12-04 15:56,2025-12-04 15:57,2025-12-04 16:00
49,2025-12-05 10:17,LONG,25860.00,25847.50,25865.00,25855.00,-10.25,-847.86,SL,2025-12-05 15:17,2025-12-05 15:18,2025-12-05 15:18
50,2025-12-05 10:26,SHORT,25856.50,25850.25,25842.75,25834.75,7.75,556.14,TP,2025-12-05 15:26,2025-12-05 15:27,2025-12-05 15:27
51,2025-12-05 10:38,SHORT,25851.00,25832.00,25829.75,25839.75,-10.25,-847.86,SL,2025-12-05 15:38,2025-12-05 15:39,2025-12-05 15:39
52,2025-12-05 10:40,SHORT,25844.75,25829.50,25826.50,25818.50,7.75,556.14,TP,2025-12-05 15:40,2025-12-05 15:41,2025-12-05 15:41
53,2025-12-08 10:17,LONG,25743.50,25720.00,25746.75,25736.75,-10.25,-847.86,SL,2025-12-08 15:17,2025-12-08 15:18,2025-12-08 15:18
54,2025-12-08 10:30,SHORT,25705.00,25688.25,25687.75,25697.75,-10.25,-847.86,SL,2025-12-08 15:30,2025-12-08 15:31,2025-12-08 15:31
55,2025-12-08 10:52,SHORT,25695.75,25675.00,25674.50,25684.50,-10.25,-847.86,SL,2025-12-08 15:52,2025-12-08 15:53,2025-12-08 15:53
56,2025-12-09 10:02,LONG,25642.00,25617.50,25667.50,25657.50,-10.25,-847.86,SL,2025-12-09 15:02,2025-12-09 15:03,2025-12-09 15:03
57,2025-12-09 10:27,SHORT,25653.00,25643.00,25635.00,25645.00,-10.25,-847.86,SL,2025-12-09 15:27,2025-12-09 15:28,2025-12-09 15:28
58,2025-12-09 10:29,LONG,25648.25,25628.25,25657.25,25665.25,7.75,556.14,TP,2025-12-09 15:29,2025-12-09 15:30,2025-12-09 15:31
59,2025-12-09 10:43,LONG,25669.00,25651.00,25676.75,25666.75,-10.25,-847.86,SL,2025-12-09 15:43,2025-12-09 15:44,2025-12-09 15:46
60,2025-12-10 10:09,SHORT,25651.75,25635.00,25629.25,25639.25,-10.25,-847.86,SL,2025-12-10 15:09,2025-12-10 15:10,2025-12-10 15:12
61,2025-12-10 10:47,LONG,25588.00,25578.25,25596.00,25604.00,7.75,556.14,TP,2025-12-10 15:47,2025-12-10 15:48,2025-12-10 15:48
62,2025-12-10 10:51,SHORT,25627.00,25609.25,25604.75,25596.75,7.75,556.14,TP,2025-12-10 15:51,2025-12-10 15:52,2025-12-10 15:52
63,2025-12-11 10:20,LONG,25575.50,25560.50,25582.50,25590.50,7.75,556.14,TP,2025-12-11 15:20,2025-12-11 15:21,2025-12-11 15:21
64,2025-12-12 10:00,SHORT,25562.75,25544.75,25520.00,25530.00,-10.25,-847.86,SL,2025-12-12 15:00,2025-12-12 15:01,2025-12-12 15:01
65,2025-12-15 10:03,SHORT,25220.25,25190.00,25183.75,25175.75,7.75,556.14,TP,2025-12-15 15:03,2025-12-15 15:04,2025-12-15 15:04
66,2025-12-15 10:09,SHORT,25228.25,25198.00,25191.50,25183.50,7.75,556.14,TP,2025-12-15 15:09,2025-12-15 15:10,2025-12-15 15:10
67,2025-12-15 10:24,SHORT,25162.75,25129.00,25078.25,25088.25,-10.25,-847.86,SL,2025-12-15 15:24,2025-12-15 15:25,2025-12-15 15:25
68,2025-12-15 10:59,LONG,25149.75,25124.00,25154.50,25144.50,-10.25,-847.86,SL,2025-12-15 15:59,2025-12-15 16:00,2025-12-15 16:00
69,2025-12-16 10:22,SHORT,25039.00,25011.25,25006.75,25016.75,-10.25,-847.86,SL,2025-12-16 15:22,2025-12-16 15:23,2025-12-16 15:23
70,2025-12-16 10:24,SHORT,25027.25,24995.50,24987.50,24979.50,7.75,556.14,TP,2025-12-16 15:24,2025-12-16 15:25,2025-12-16 15:25
71,2025-12-16 10:38,SHORT,25031.00,24981.50,24968.75,24960.75,7.75,556.14,TP,2025-12-16 15:38,2025-12-16 15:39,2025-12-16 15:39
72,2025-12-17 10:22,LONG,25072.25,25051.75,25092.25,25100.25,7.75,556.14,TP,2025-12-17 15:22,2025-12-17 15:23,2025-12-17 15:23
73,2025-12-18 10:37,LONG,25135.50,25106.50,25154.50,25162.50,7.75,556.14,TP,2025-12-18 15:37,2025-12-18 15:38,2025-12-18 15:38
