#,Signal_ET,Direction,Close,EMA13,EMA34,Entry,Exit,PnL_Pts,PnL_USD,Reason,Signal_UTC,Entry_UTC,Exit_UTC
68,2025-12-15 10:58,SHORT,25135.00,25146.72,25147.39,25134.75,25146.75,-12.25,-25.74,SL,2025-12-15 15:58,2025-12-15 15:59,2025-12-15 15:59
69,2025-12-15 11:06,LONG,25171.50,25149.51,25148.11,25172.00,25182.00,9.75,18.26,TP,2025-12-15 16:06,2025-12-15 16:07,2025-12-15 16:07
70,2025-12-15 11:37,SHORT,25155.25,25198.34,25198.69,25155.00,25145.00,9.75,18.26,TP,2025-12-15 16:37,2025-12-15 16:38,2025-12-15 16:38
71,2025-12-16 10:16,SHORT,25300.25,25329.23,25330.68,25300.25,25290.25,9.75,18.26,TP,2025-12-16 15:16,2025-12-16 15:17,2025-12-16 15:17
72,2025-12-16 10:53,LONG,25295.50,25264.84,25263.41,25296.00,25306.00,9.75,18.26,TP,2025-12-16 15:53,2025-12-16 15:54,2025-12-16 15:54
73,2025-12-16 11:14,SHORT,25260.00,25286.81,25288.05,25259.75,25249.75,9.75,18.26,TP,2025-12-16 16:14,2025-12-16 16:15,2025-12-16 16:15
74,2025-12-16 11:47,LONG,25264.50,25252.72,25252.51,25264.75,25274.75,9.75,18.26,TP,2025-12-16 16:47,2025-12-16 16:48,2025-12-16 16:48
75,2025-12-18 10:11,SHORT,25208.00,25248.85,25249.27,25207.25,25197.25,9.75,18.26,TP,2025-12-18 15:11,2025-12-18 15:12,2025-12-18 15:12
76,2025-12-18 10:25,LONG,25289.50,25237.05,25234.57,25289.75,25299.75,9.75,18.26,TP,2025-12-18 15:25,2025-12-18 15:26,2025-12-18 15:26
77,2025-12-18 11:29,SHORT,25352.75,25374.65,25375.52,25352.75,25364.75,-12.25,-25.74,SL,2025-12-18 16:29,2025-12-18 16:30,2025-12-18 16:30
78,2025-12-18 11:35,LONG,25382.00,25376.19,25375.83,25382.50,25392.50,9.75,18.26,TP,2025-12-18 16:35,2025-12-18 16:36,2025-12-18 16:36
79,2025-12-19 10:25,SHORT,25498.75,25524.33,25525.01,25498.25,25488.25,9.75,18.26,TP,2025-12-19 15:25,2025-12-19 15:26,2025-12-19 15:26
80,2025-12-19 10:35,LONG,25544.50,25520.73,25520.48,25544.50,25532.50,-12.25,-25.74,SL,2025-12-19 15:35,2025-12-19 15:36,2025-12-19 15:39
81,2025-12-19 10:45,SHORT,25505.25,25523.05,25523.64,25504.50,25494.50,9.75,18.26,TP,2025-12-19 15:45,2025-12-19 15:46,2025-12-19 15:46
82,2025-12-19 11:08,LONG,25521.25,25504.97,25503.61,25521.50,25531.50,9.75,18.26,TP,2025-12-19 16:08,2025-12-19 16:09,2025-12-19 16:10
83,2025-12-19 11:47,SHORT,25510.00,25537.67,25537.77,25510.00,25500.00,9.75,18.26,TP,2025-12-19 16:47,2025-12-19 16:48,2025-12-19 16:48
84,2025-12-22 10:03,SHORT,25718.00,25730.60,25731.67,25717.50,25707.50,9.75,18.26,TP,2025-12-22 15:03,2025-12-22 15:04,2025-12-22 15:04
85,2025-12-22 11:06,LONG,25687.00,25680.09,25679.62,25687.50,25697.50,9.75,18.26,TP,2025-12-22 16:06,2025-12-22 16:07,2025-12-22 16:10
86,2025-12-22 11:43,SHORT,25696.75,25700.56,25700.58,25697.00,25709.00,-12.25,-25.74,SL,2025-12-22 16:43,2025-12-22 16:44,2025-12-22 16:51
87,2025-12-22 11:52,LONG,25705.25,25700.18,25699.93,25705.50,25715.50,9.75,18.26,TP,2025-12-22 16:52,2025-12-22 16:53,2025-12-22 17:00
88,2025-12-23 10:02,SHORT,25649.25,25689.54,25693.19,25649.00,25639.00,9.75,18.26,TP,2025-12-23 15:02,2025-12-23 15:03,2025-12-23 15:03
89,2025-12-23 10:24,LONG,25684.25,25672.13,25671.88,25684.00,25672.00,-12.25,-25.74,SL,2025-12-23 15:24,2025-12-23 15:25,2025-12-23 15:25
90,2025-12-23 10:26,LONG,25679.25,25672.79,25672.16,25679.75,25667.75,-12.25,-25.74,SL,2025-12-23 15:26,2025-12-23 15:27,2025-12-23 15:29
91,2025-12-24 10:01,LONG,25815.00,25805.82,25805.04,25815.50,25825.50,9.75,18.26,TP,2025-12-24 15:01,2025-12-24 15:02,2025-12-24 15:10
92,2025-12-24 10:28,SHORT,25809.75,25816.90,25817.37,25809.75,25821.75,-12.25,-25.74,SL,2025-12-24 15:28,2025-12-24 15:29,2025-12-24 15:30
93,2025-12-24 10:38,LONG,25821.25,25817.54,25817.33,25821.50,25831.50,9.75,18.26,TP,2025-12-24 15:38,2025-12-24 15:39,2025-12-24 15:47
94,2025-12-26 10:30,LONG,25885.25,25873.48,25872.67,25885.00,25895.00,9.75,18.26,TP,2025-12-26 15:30,2025-12-26 15:31,2025-12-26 15:31
95,2025-12-26 11:13,SHORT,25871.25,25890.04,25891.16,25871.00,25861.00,9.75,18.26,TP,2025-12-26 16:13,2025-12-26 16:14,2025-12-26 16:14
96,2025-12-26 11:41,LONG,25887.75,25881.90,25881.86,25888.25,25876.25,-12.25,-25.74,SL,2025-12-26 16:41,2025-12-26 16:42,2025-12-26 16:49
97,2025-12-29 10:24,LONG,25738.75,25714.71,25714.39,25738.75,25748.75,9.75,18.26,TP,2025-12-29 15:24,2025-12-29 15:25,2025-12-29 15:26
98,2025-12-29 10:50,SHORT,25693.00,25731.89,25734.50,25692.50,25682.50,9.75,18.26,TP,2025-12-29 15:50,2025-12-29 15:51,2025-12-29 15:51
99,2025-12-29 11:33,LONG,25710.50,25702.62,25702.30,25710.75,25698.75,-12.25,-25.74,SL,2025-12-29 16:33,2025-12-29 16:34,2025-12-29 16:34
100,2025-12-29 11:52,LONG,25701.50,25698.46,25698.40,25702.00,25695.75,-6.50,-14.24,EOD,2025-12-29 16:52,2025-12-29 16:53,2025-12-29 17:00
101,2025-12-30 10:12,SHORT,25693.75,25723.91,25726.08,25693.75,25683.75,9.75,18.26,TP,2025-12-30 15:12,2025-12-30 15:13,2025-12-30 15:13
102,2025-12-30 10:51,LONG,25724.75,25703.29,25701.76,25725.00,25735.00,9.75,18.26,TP,2025-12-30 15:51,2025-12-30 15:52,2025-12-30 15:53
103,2025-12-30 11:39,SHORT,25743.75,25758.52,25759.17,25743.50,25733.50,9.75,18.26,TP,2025-12-30 16:39,2025-12-30 16:40,2025-12-30 16:40
