#,Entry_ET,Direction,Score,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason,Entry_UTC,Exit_UTC
81,2025-11-21 12:01,SHORT,4,31.27,24352.00,24326.99,24389.52,24327.24,24.76,48.29,TP,2025-11-21 17:01,2025-11-21 17:01
82,2025-11-21 12:06,SHORT,4,31.29,24346.25,24321.22,24383.79,24384.04,-37.79,-76.83,SL,2025-11-21 17:06,2025-11-21 17:09
83,2025-11-21 12:35,SHORT,4,24.05,24387.00,24367.76,24415.86,24416.11,-29.11,-59.47,SL,2025-11-21 17:35,2025-11-21 17:37
84,2025-11-21 13:41,SHORT,4,26.38,24365.25,24344.15,24396.90,24344.40,20.85,40.46,TP,2025-11-21 18:41,2025-11-21 18:41
85,2025-11-21 13:49,SHORT,4,26.88,24495.50,24474.00,24527.75,24528.00,-32.50,-66.24,SL,2025-11-21 18:49,2025-11-21 18:49
86,2025-11-21 13:53,SHORT,4,34.32,24498.50,24471.04,24539.69,24471.29,27.21,53.17,TP,2025-11-21 18:53,2025-11-21 18:54
87,2025-11-21 14:09,SHORT,4,30.04,24541.00,24516.97,24577.04,24517.22,23.78,46.32,TP,2025-11-21 19:09,2025-11-21 19:15
88,2025-11-21 14:30,SHORT,4,20.30,24580.50,24564.26,24604.86,24564.51,15.99,30.75,TP,2025-11-21 19:30,2025-11-21 19:30
89,2025-11-24 10:07,SHORT,4,32.66,24754.25,24728.12,24793.44,24728.37,25.88,50.52,TP,2025-11-24 15:07,2025-11-24 15:07
90,2025-11-24 10:41,SHORT,4,25.27,24785.25,24765.04,24815.57,24815.82,-30.57,-62.38,SL,2025-11-24 15:41,2025-11-24 15:45
91,2025-11-24 10:52,SHORT,4,17.07,24799.75,24786.09,24820.24,24786.34,13.41,25.57,TP,2025-11-24 15:52,2025-11-24 15:52
92,2025-11-24 11:20,SHORT,4,13.73,24867.25,24856.26,24883.73,24856.51,10.74,20.23,TP,2025-11-24 16:20,2025-11-24 16:32
93,2025-11-24 12:18,SHORT,4,14.23,24871.00,24859.61,24888.08,24888.33,-17.33,-35.90,SL,2025-11-24 17:18,2025-11-24 17:22
94,2025-11-24 12:33,SHORT,4,11.86,24887.50,24878.01,24901.73,24901.98,-14.48,-30.20,SL,2025-11-24 17:33,2025-11-24 17:37
95,2025-11-24 12:41,SHORT,4,13.32,24932.50,24921.84,24948.49,24922.09,10.41,19.57,TP,2025-11-24 17:41,2025-11-24 17:41
96,2025-11-24 12:51,SHORT,4,12.96,24927.50,24917.13,24943.06,24917.38,10.12,19.00,TP,2025-11-24 17:51,2025-11-24 17:57
97,2025-11-24 13:13,SHORT,4,7.77,24941.25,24935.04,24950.57,24950.82,-9.57,-20.38,SL,2025-11-24 18:13,2025-11-24 18:13
